Time(ms),C1_Sign, C1_CPM, C1_uSv, C2_Sign, C2_CPM, C2_uSv, MuonCount, MuonCPM
5670394,0,0,0.0,0,0,0.0,0,0
5685395,0,0,0.0,0,0,0.0,0,0
5700396,0,0,0.0,0,0,0.0,0,0
5715397,0,0,0.0,0,0,0.0,1,4
5730398,0,0,0.0,0,0,0.0,1,4
5745399,0,0,0.0,0,0,0.0,0,0
5760400,0,0,0.0,0,0,0.0,1,4
5775401,23,92,1.73,0,0,0.0,0,0
5790402,0,0,0.0,0,0,0.0,0,0
5805403,0,0,0.0,0,0,0.0,0,0
5820404,0,0,0.0,0,0,0.0,0,0
5835405,0,0,0.0,0,0,0.0,0,0
5850406,0,0,0.0,0,0,0.0,0,0
5865407,0,0,0.0,0,0,0.0,0,0
5880408,0,0,0.0,0,0,0.0,0,0
5895409,0,0,0.0,0,0,0.0,1,4
5910410,0,0,0.0,0,0,0.0,0,0
5925411,0,0,0.0,0,0,0.0,0,0
5940412,0,0,0.0,0,0,0.0,0,0
5955414,0,0,0.0,0,0,0.0,0,0
5970415,0,0,0.0,0,0,0.0,2,8
5985416,0,0,0.0,0,0,0.0,0,0
6000417,0,0,0.0,0,0,0.0,0,0
6015418,0,0,0.0,22,88,1.66,1,4
6030419,0,0,0.0,0,0,0.0,0,0
6045420,0,0,0.0,0,0,0.0,1,4
6060421,0,0,0.0,0,0,0.0,1,4
6075422,0,0,0.0,0,0,0.0,0,0
6090423,0,0,0.0,0,0,0.0,0,0
6105424,0,0,0.0,0,0,0.0,1,4
6120425,27,108,2.04,0,0,0.0,1,4
6135426,0,0,0.0,0,0,0.0,0,0
6150427,0,0,0.0,0,0,0.0,2,8
6165428,0,0,0.0,0,0,0.0,0,0
6180429,0,0,0.0,0,0,0.0,0,0
6195430,0,0,0.0,16,64,1.21,0,0
6210432,0,0,0.0,16,64,1.21,2,8
6225433,0,0,0.0,0,0,0.0,0,0
6240434,0,0,0.0,0,0,0.0,2,8
6255435,0,0,0.0,0,0,0.0,1,4
6270436,0,0,0.0,29,116,2.19,1,4
6285437,0,0,0.0,0,0,0.0,1,4
6300438,0,0,0.0,0,0,0.0,0,0
6315439,0,0,0.0,0,0,0.0,1,4
6330440,0,0,0.0,0,0,0.0,2,8
6345441,0,0,0.0,0,0,0.0,1,4
6360442,0,0,0.0,0,0,0.0,1,4
6375443,0,0,0.0,0,0,0.0,0,0
6390444,0,0,0.0,0,0,0.0,1,4
6405445,0,0,0.0,0,0,0.0,0,0
6420446,0,0,0.0,0,0,0.0,0,0
6435447,0,0,0.0,0,0,0.0,1,4
6450448,0,0,0.0,0,0,0.0,2,8
6465449,0,0,0.0,0,0,0.0,0,0
6480450,0,0,0.0,0,0,0.0,0,0
6495451,0,0,0.0,21,84,1.58,4,16
6510452,0,0,0.0,0,0,0.0,0,0
6525453,0,0,0.0,0,0,0.0,0,0
6540454,0,0,0.0,0,0,0.0,0,0
6555455,0,0,0.0,0,0,0.0,2,8
6570456,0,0,0.0,0,0,0.0,1,4
6585457,0,0,0.0,0,0,0.0,1,4
6600458,0,0,0.0,0,0,0.0,0,0
6615459,0,0,0.0,16,64,1.21,1,4
6630460,0,0,0.0,0,0,0.0,2,8
6645462,0,0,0.0,0,0,0.0,0,0
6660463,17,68,1.28,0,0,0.0,1,4
6675464,0,0,0.0,0,0,0.0,0,0
6690465,0,0,0.0,0,0,0.0,1,4
6705466,0,0,0.0,0,0,0.0,0,0
